url,title_list,author_list,time_list,content_list,tag_list
https://dongqiudi.com/articles/2133728.html,黑金控-德甲队徽系列壁纸（第二期）排名不分先后D...,SPACEFOOTBALL,07-09 23:01,['黑金控-德甲队徽系列壁纸（第二期）\n\n排名不分先后\n\nDesigned by SPACEFOOTBALL\n\n同款手机壳已上架\n淘宝店铺：SPACEFOOTBALL\n\n获取更多原图可以关注微博或B站\xa0 \xa0 \xa0\xa0\n微博：@ SPACEFOOTBALL \xa0 \xa0 \nB站：SPACEFOOTBALL'],[]
https://dongqiudi.com/articles/2133715.html,黑金控-德甲队徽系列壁纸（第一期）排名不分先后D...,SPACEFOOTBALL,07-09 22:51,['黑金控-德甲队徽系列壁纸（第一期）\n\n排名不分先后\n\nDesigned by SPACEFOOTBALL\n\n同款手机壳已上架\n淘宝店铺：SPACEFOOTBALL\n\n获取更多原图可以关注微博或B站\xa0 \xa0 \xa0\xa0\n微博：@ SPACEFOOTBALL \xa0 \xa0 \nB站：SPACEFOOTBALL'],[]
https://dongqiudi.com/articles/2133714.html,科雷尔晒照揭秘改穿24号原因：德国队2号，巴黎4号,大风车keith,07-09 22:51,"['在拉莫斯加盟巴黎后，科雷尔将自己的4号球衣让给了西班牙中卫。日前，科雷尔晒照向球迷们解释了自己改穿24号球衣的原因。', '照片中，科雷尔手持印有自己名字的德国队2号球衣和巴黎4号球衣，这两个号码对于他来说都有着特别的意义。因此，在将巴黎4号球衣让给拉莫斯后，科雷尔选择了24号球衣。', '截至到目前，科雷尔代表德国队出场9次，而他为巴黎出场过94次，斩获了2球。']","['德国', '巴黎圣日耳曼', '拉莫斯', '蒂洛-科雷尔']"
https://dongqiudi.com/articles/2133750.html,再休息一下~#欧洲杯# #欧洲杯吐槽大会# ​,足球大会,07-09 22:50,['再休息一下~\xa0'],"['波兰', '拜仁慕尼黑', '莱万多夫斯基']"
https://dongqiudi.com/articles/2133711.html,荷媒：拜仁和里尔有意埃因霍温边锋加克波,ETChalmers,07-09 22:49,"['据荷兰媒体ED的消息，拜仁和里尔等俱乐部有意埃因霍温边锋加克波。', '报道称，拜仁等俱乐部正在密切关注他，并且已经询问了他的情况，目前来看转会可能还不是很明显，但加克波很高兴知道这家德甲豪门认可他的才华。', '此外，法甲冠军里尔也有意这位荷兰边锋，他们愿意为加克波支付1500-2000万欧的转会费，但这对于埃因霍温来说还不够。', '消息指出，埃因霍温希望加克波至少再留在球队一年。', '上赛季，加克波代表埃因霍温在荷甲出场23次，打入7球并送出3次助攻。']","['拜仁慕尼黑', '里尔', 'PSV埃因霍温', '加克波']"
https://dongqiudi.com/articles/2133690.html,多特报价圣朱斯特？美因茨体育董事：没收到多特的报价,阿漂,07-09 22:35,"['德国媒体sport.de消息，今天早些时候，《法兰克福汇报》称多特蒙德已经为美因茨后卫圣朱斯特送上了第一份报价。', '《法兰克福汇报》表示，美因茨对圣朱斯特的标价为1500万到2000万欧元之间，多特蒙德的这份报价要稍微低于美因茨的要价。', '面对另一家德国媒体SPORT1的提问，美因茨体育董事海德尔表示：“没有收到多特蒙德的报价。”']","['多特蒙德', '美因茨', '圣朱斯特']"
https://dongqiudi.com/articles/2133687.html,Nike x 法兰克福2021/22赛季客场球衣发布,SPACEFOOTBALL,07-09 22:32,['Nike x 法兰克福2021/22赛季客场球衣发布'],['法兰克福']
https://dongqiudi.com/articles/2133682.html,苏格兰媒体ThesecretScout：关于哈兰...,天tian足球,07-09 22:26,['苏格兰媒体ThesecretScout：关于哈兰德，切尔西仍在努力达成协议，希望可以在今夏敲定，毕竟明年夏天有其他俱乐部竞争。\n\n多特蒙德没有卖人的压力，目标是多留一赛季，佐尔克和拉伊奥拉关系很好。\n\n希望找到理想的替代者，如果没有，交易不可能。 \n\n\n｜信息来源参考：ThesecretScout推特社交媒体'],"['多特蒙德', '切尔西', '哈兰德']"
https://dongqiudi.com/articles/2133668.html,图片报：丹麦U21中场林德斯特伦抵达法兰克福，转会费700万欧,阿漂,07-09 22:19,"['德国媒体《图片报》消息，法兰克福已经完成丹麦中场林德斯特伦的转会事宜，这一消息也得到了BT SPORT的确认。', '据悉，当地时间本周五林德斯特伦已经出现在法兰克福，但是他还没有完成体检，法兰克福将向布隆德比支付650万欧元的转会费。', 'BT SPORT则表示，林德斯特伦的转会费为700万欧元。']","['布隆德比', '法兰克福', '林德斯特伦']"
https://dongqiudi.com/articles/2133667.html,罗伯特-六块腹肌斯基！莱万海边度假照展现完美身材,ForzaBan,07-09 22:18,"['今天，拜仁&波兰球星莱万多夫斯基在社交媒体上晒出了自己海边度假的照片，六块腹肌+人鱼线相当有型。', '结束了欧洲杯的征程之后，莱万终于能够与家人一同享受假日时光。只见他赤裸上身站在碧蓝色的海水中，沐浴着阳光，展现出了完美的肌肉线条。', '在评论区中，也有球迷打趣评论道：罗伯特-六块腹肌斯基(Robert SIXPACKdowski)。']","['波兰', '拜仁慕尼黑', '莱万多夫斯基']"
https://dongqiudi.com/articles/2133656.html,德媒：勒沃库森首席球探考察美国国脚前锋萨金特,阿漂,07-09 22:12,"['德国媒体《足球转会》网站援引自DeichStube消息，勒沃库森首席球探蒂姆-施泰滕亲自前往不莱梅的训练营考察球员，目标是美国国脚萨金特。', '施泰滕表示：“萨金特当然是一位令人很感兴趣的球员，不过对此我不想也不能说更多了。”', '对萨金特感兴趣的除了勒沃库森，还有法兰克福。他的转会费约为1000万欧元。问题在于，勒沃库森是否愿意为他付这么多钱。']","['美国', '云达不莱梅', '勒沃库森', '萨金特']"
https://dongqiudi.com/articles/2133638.html,美因茨官方：瑞士国脚后卫威德默签约到2024年,阿漂,07-09 22:00,"['德甲球队美因茨官方宣布，从瑞士超球队巴塞尔签下司职右后卫的威德默。', '28岁的威德默是瑞士国脚，他在今夏的欧洲杯上出场4次，其中3次首发。俱乐部层面，威德默曾效力于格拉纳达、阿劳、乌迪内斯，2018年夏天以450万欧元的转会费加盟巴塞尔，效力至今。', '威德默与美因茨签约到了2024年，具体的转会细节双方俱乐部没有透露。']","['美因茨', '巴塞尔', '西尔万-威德默']"
https://dongqiudi.com/articles/2133632.html,知名记者Angelo Mangiante：赖斯和...,天tian足球,07-09 21:57,['知名记者Angelo Mangiante：赖斯和哈兰德仍然是切尔西这个夏天转会窗的主要目标 。\n\n\n｜信息来源参考：Angelo Mangiante推特社媒'],"['多特蒙德', '切尔西', '西汉姆联', '德克兰-赖斯', '哈兰德']"
https://dongqiudi.com/articles/2133615.html,记者：暂时没有球队和拜仁谈屈桑斯，他的去留将由纳帅决定,阿漂,07-09 21:47,"['德国媒体SPOX记者Kerry Hau消息，拜仁高层希望出售屈桑斯套现，但是到现在为止还没有展开具体的谈判。', '受到新冠疫情的影响，拜仁希望可以通过出售屈桑斯来回收一些资金，但是截止到目前为止，还没有和任何一家俱乐部展开具体的谈判。屈桑斯将会完整地参加拜仁的季前备战，最终的决定将由纳格尔斯曼做出。', '据悉，屈桑斯希望在拜仁有新的开始，他想得到更多出场机会，站稳脚跟。屈桑斯在训练中留下的第一印象是积极的，他看起来动力十足，一直在要球，训练中的表现很不错，纳格尔斯曼都看在眼里。']","['拜仁慕尼黑', '屈桑斯', '纳格尔斯曼']"
https://dongqiudi.com/articles/2133595.html,德媒：帕夫连卡愿意留在不莱梅，但目前谈判没有实际进展,萌匪,07-09 21:31,"['根据德国媒体《足球转会》的消息，尽管不莱梅已降入德乙，但门将帕夫连卡愿意留在球队，不过目前双方的谈判并没有什么实质的进展。', '不莱梅的体育主管弗兰克-鲍曼表示，帕夫连卡的未来很快就可以明确：“我们正在谈判，并且我们也在一直说帕夫连卡可以想象留在球队，但这并不意味着我们已经达成一致。”', '近日，帕夫连卡的经纪人表示，这位捷克门将目前倾向于留在不莱梅。然而，一切还不能确定，双方的谈判目前还没有实质性的进展。帕夫连卡与不莱梅的合同将于2022年到期。']","['云达不莱梅', '帕夫连卡']"
https://dongqiudi.com/articles/2133573.html,随着A席加盟莱比锡、约维奇租期结束，刚刚回归的帕...,VamosPortugal,07-09 21:18,['随着A席加盟莱比锡、约维奇租期结束，刚刚回归的帕先西亚会获得更多机会吗'],"['法兰克福', '贡萨洛-帕先西亚', '安德烈-席尔瓦']"
https://dongqiudi.com/articles/2133551.html,这就是想要马伦的原因！,黑白的信仰,07-09 21:06,[],"['多特蒙德', '利物浦', 'PSV埃因霍温', '马伦']"
https://dongqiudi.com/articles/2133549.html,比利时记者：莱比锡想要曼城前锋恩梅加，转会费约为1000万欧,阿漂,07-09 21:06,"['比利时记者Sacha Tavolieri爆料，上赛季德甲亚军RB莱比锡依然在考虑引进德国U21前锋恩梅加。', '在此之前，莱比锡已经从法兰克福签下了上赛季的德甲银靴安德烈-席尔瓦。', '恩梅加是曼城的球员，上赛季租借效力于比甲球队安德莱赫特，他的转会费将在1000万到1200万欧元之间。']","['曼城', 'RB莱比锡', '恩梅加']"
https://dongqiudi.com/articles/2133520.html,图片报：卢尼奥夫将与勒沃库森签约，他正在进行体检,萌匪,07-09 20:53,"['根据德国媒体《图片报》的消息，俄罗斯门将卢尼奥夫将与勒沃库森签约，他目前已经抵达俱乐部，正在进行体检。', '29岁的卢尼奥夫此前效力于圣彼得堡泽尼特，今夏他与俱乐部的合同到期，成为了一名自由球员。这位门将曾为俄罗斯国家队出场7次。', '俄罗斯媒体Sport24的报道称，卢尼奥夫可能会与勒沃库森签下一份到2023年的合同。加盟勒沃库森后，他将担任赫拉德茨基的替补，成为药厂的替补门将。', '为了获得更多的机会与比赛经验，勒沃库森的年轻门将格里尔可能会租借离队，这位德国小将在今夏随队赢得了欧青赛U21的冠军，此前已经有多家俱乐部表示对格里尔有意。']","['勒沃库森', '泽尼特', '赫拉德茨基', '卢尼奥夫', '格里尔']"
https://dongqiudi.com/articles/2133519.html,德职联官方：新赛季接种疫苗或痊愈的球员不用再接受新冠检测,阿漂,07-09 20:53,"['德国足球职业联盟官方宣布，在新赛季的德甲、德乙、德丙和德甲女足联赛中，已经接种新冠疫苗或是曾感染新冠并痊愈的球员将不再需要接受检测。', '这一决定已经被写入德国足球职业联盟的新的健康和安全条例。不符合以上两种情况的球员们，将每周接受两次检测。']",['德国']
