url,title_list,author_list,time_list,content_list,tag_list
https://dongqiudi.com/articles/2133744.html,意大利人已然蓄势待发，等待决赛的到来。,侃球的欧豆豆,07-09 23:08,['意大利人已然蓄势待发，等待决赛的到来。'],['意大利']
https://dongqiudi.com/articles/2133742.html,那不勒斯备战新赛季的夏训即将开始，对于即将归队的...,那不勒斯足球俱乐部,07-09 23:07,['那不勒斯备战新赛季的夏训即将开始，对于即将归队的球员们和我们的新任主教练，大家有没有什么想问的问题呢？有想让球员们尝试的趣味问答、游戏、中文挑战吗？快来留言和我们分享，说不定就能被选中，点菜成功哦！'],"['那不勒斯', '因西涅', '梅尔滕斯', '泽林斯基', '迪洛伦佐']"
https://dongqiudi.com/articles/2133699.html,吐槽个球丨据意大利天空电视台报道，以下8名球员不...,Laoshu,07-09 22:42,['吐槽个球丨据意大利天空电视台报道，以下8名球员不在何塞·穆里尼奥的新赛季计划之中！\n\n - 帕斯托雷\n- 佩德罗\n- 奥尔森\n- 恩宗齐\n- 桑顿\n- 科里奇\n- 法齐奥\n- 克鲁伊维特\n\n这些球员没有被要求参加季前赛训练营！\n\nhttps://twitter.com/lnstantfoot/status/1413417884404039681?s=21'],"['罗马', '穆里尼奥']"
https://dongqiudi.com/articles/2133698.html,Exhibition | 保佑意大利,Dr_Football,07-09 22:41,['Exhibition | 保佑意大利'],[]
https://dongqiudi.com/articles/2133653.html,迪马济奥：丹麦中场小将安德森加盟国米，已经完成签约,桐谷爱丽丝,07-09 22:11,"['根据意大利记者迪马济奥的消息，丹麦中场小将安德森已经加盟国米。', '安德森是一名2004年出生的丹麦中场球员，他来自于哥本哈根的U19青年队，他已经为国家队的U17青年梯队有过效力，他今天正式开始了他的国米生涯。', '转会的谈判已经在几天前结束，而安德森也已经在今天签了合同，他已经成为了国米的新球员。', '安德森在6月13日年满17岁，他至少将会在最开始的这段时期为国米的青年队效力。']","['国际米兰', '哥本哈根']"
https://dongqiudi.com/articles/2133634.html,训练营第2️⃣日雨过天晴，有条不紊,AC米兰足球俱乐部,07-09 21:58,['训练营第2️⃣日\n\n雨过天晴，有条不紊'],['AC米兰']
https://dongqiudi.com/articles/2133613.html,（超清60帧）2006年世界杯决赛，里皮率领意大利夺冠,蒲师兄,07-09 21:44,[],"['意大利', '里皮']"
https://dongqiudi.com/articles/2133597.html,（据说，每个人身边都会有这样的球迷）你身边有没有...,独爱曼联92,07-09 21:34,['（据说，每个人身边都会有这样的球迷）\n\n你身边有没有那种支持一个队伍，然后当支持的队伍被打败之后瞬间倒戈对手的朋友\n\n\n比如像视频中那样，如果有，那么很不幸！\n\n如果没有，那么你很幸运！\n\n（视频来源：ins：ydfootball）'],"['意大利', '西班牙']"
https://dongqiudi.com/articles/2133577.html,（espn）铁头撞击永流传15年前的今天，齐达内...,eeeCstasy,07-09 21:21,"['（espn）铁头撞击永流传\n15年前的今天，齐达内在世界杯决赛中因头顶马特拉齐而被罚下场。\n这幅“世界名画”在巴黎得以延续，它被建成了一座5米高的雕像。\n15 years ago today, Zidane was sent off in the World Cup final for that headbutt.\nIt was later immortalised as a 5m high statue in Paris.\nESPN（来源）\nhttps://plus.espn.com/（地址）']","['法国', '意大利', '齐达内', '马特拉齐']"
https://dongqiudi.com/articles/2131306.html,感谢你们，让大家相信丹麦童话,孔明空城专栏,07-09 21:08,"['经过一百二十分钟的鏖战，三狮军团终结了丹麦人的黑马之旅，让丹麦足球童话2.0版本以一个“Bad Ending”收尾。但今年夏天丹麦队以全欧洲为舞台，上演了更有戏剧张力的足球安徒生童话：折损大将、身陷绝境、奋起反击、过关斩将、遗憾止步。', '有人说：“Happy Ending让你记得这个故事，Bad Ending除了让你记得这个故事外，有时候还让你无意间思考一下这个故事。”止步四强的结局，让已经创造奇迹的北欧诸神们披上了悲剧英雄的色彩。', '吃早餐时，老六点上一支烟看着朝阳说：“其实挺感谢这批丹麦教练和球员的，让我这个四十岁的人还相信童话。”', '亦师亦友尤勒曼', '“球员们所做的一切都是令人赞叹的，这些人身上有一种神奇的力量，他们踢出了很棒的足球。无论是场上还是场下的球员，他们都全力以赴。”比赛结束后，丹麦队主帅尤勒曼率先冷静下来，准备以一名主教练的身份，来安慰遗憾无缘决赛后的球员们。', '在欧洲杯之前，为人谦逊、善于交流、痴迷于技术足球的尤勒曼一直给人一种“书呆子”的感觉，在2019年他成为丹麦国家队热门候选人后，还曾引发了一阵争议，毕竟率领北西兰赢得丹麦顶级联赛冠军的成就不足以让他坐稳丹麦队的帅位，更何况他执教美因茨的德甲之旅也非常不顺。', '但是本届欧洲杯，他却用他的方式带领球队书写了新时代的丹麦童话。', '正如梅勒所说：“尤勒曼是一位很擅长与球员们交流的主教练，他总会给予球员们所需的自由度。他不但是一位优秀的教练，现在也是我们的挚友。”在赛前和赛中，尤勒曼总是不断地与队员交流，为他们描摹清楚了丹麦队的定位，营造好了轻松的队内气氛，这些努力都为丹麦队的爆发打下了基础。', '欧洲杯上丹麦队最大的困难是埃里克森突发疾病，尤勒曼经历了丹麦足球最跌宕起伏的一段时间，他像个沉着冷静、敏锐镇定的船长那样，稳稳握住丹麦队的船舵，引导自己麾下的球员们以极具尊严的方式渡过难关。', '尤勒曼与埃里克森私交甚笃，这次意外给了其实对他冲击也不小，但他得当的应对方式不但解决了球队的危机，反而激发起了球队的战斗力。', '这位经历过9次膝盖手术后，不得以在26岁就挂靴的少帅，非常清楚一届大赛对于球员的意义。在全队上下手忙脚乱、前两轮输球的情况下，尤勒曼自己先稳定住了心情，待稳定军心后，坚持既定打法不变，发挥出了丹麦队本身就不俗的实力，最终大胜俄罗斯，带队走出泥潭。', '队长克亚尔对教练评价极高：“主教练在处理这些事情的方式简直难以置信……他真的是一位非常出色的主帅，也是球队的领袖。我很感激他能够成为我的教练。”', '本届欧洲杯，尤勒曼兼具美丽与务实的踢法让世人眼前一亮，这位克鲁伊夫的忠实拥趸让丹麦队异常细腻，但是却保留了北欧球队顽强的性格。在尤勒曼看来，这两者并不冲突，欧洲杯的实践也证明了，空间利用能力极佳的丹麦队仍旧是欧洲二流球队中的佼佼者，是把细腻的技巧和力量的美感结合到最好的球队，具备战胜任何球队的潜能。', '正是在尤勒曼麾下的丹麦队面对困难无比团结，用自己的踢法捍卫者自己的荣誉，从而缔造了新的丹麦童话。', '英雄队长克亚尔', '克亚尔的形象不太好用童话人物来概括，但是用武侠可以。', '扶危定难、侠义心肠的大侠大概就是克亚尔这个样子，他对于球队的意义不止体现在技战术层面上，他带头大哥的风范总是会让队友们在精神上有安全感。', '说实话埃里克森倒下之时，笔者想到了维维安福。', '但是因为有克亚尔的及时处理，避免了悲剧的发生。丹麦队长勇敢、冷静的带头大哥属性现象了出来，他急忙查看埃里克森的情况，防止他吞咽舌头导致窒息，又争分夺秒地做起了心肺复苏的急救，再组织队友组成人墙护住埃尔克森，在很短的时间内克亚尔从死神手中抢回了爱神。', '在队医登场后，克亚尔在关注急救过程的同时，也不忘安慰身边的队友。当埃里克森的妻子因为焦急而在场边失声痛哭时，他又赶紧去安抚她的情绪。可以说正是在克亚尔这种极具担当、临危不乱的急救下，抓住了救下了队友的命，谁不想自己身边有这样一位大哥？', '其实，克亚尔还救过荷兰老门神斯特克伦堡。2011年9月18日，当时罗马队门将的斯特克伦堡被进攻中来不及收脚的卢西奥踢中太阳穴，随即倒在地上一动不动，当时还在罗马效力的克亚尔赶紧过去查看伤情，一边急救又赶紧叫队医上场救人，最终让荷兰人化险为夷。', '这其实就是性格使然，当队友有危险时第一个冲过去的肯定是他。前切尔西主帅迪马特奥的话很有代表性：“克亚尔不仅仅是队友的英雄，也不仅仅是好朋友埃里克森的英雄，他是每一个人的英雄。”', '有这样的队长，球队自然会团结异常、形成巨大战斗力。这正是书写丹麦童话的原始动力，也许克亚尔防守会出问题，甚至还会打进乌龙球，但这丝毫不能影响英雄队长的形象。', '西蒙-克亚尔，称得起米兰球迷“克爹”的名号。', '精神传承达姆斯高', '对阵俄罗斯，两连败的丹麦队已是背水一战。', '比赛第38分钟，北欧海盗在禁区前沿觅得良机，小将达姆斯高突施冷箭，用精彩的弧线球敲开了俄罗斯队的大门帮助球队首开记录，为4-1射落双头鹰立下头功，帮助丹麦人逆袭杀入淘汰赛。', '半决赛，又是达姆斯高利用定位球机会，用精湛的任意球绝技洞穿了皮克福德的十指关，帮助丹麦队取得领先。', '这位2000年出生的小将，用实际行动继承了丹麦人敢于书写童话的精神气质。凭借优异表现，他成为欧洲杯历史上第一个“00后”进球者，也成为了本届赛事第一位直接任意球破门者……新丹麦童话止步半决赛，但达姆斯高的名字已经在欧罗巴尽人皆知。', '得益于曾与主帅在北西兰共事，达姆斯高的才华尤勒曼非常清楚，在埃里克森离队休养、球队连败的不利形势中，尤勒曼大胆启用这位00后新秀，为丹麦队打开了胜利之门。在波尔森、布莱斯维特等大哥的掩护下，桑普多利亚边锋在肋部、禁区前沿展现出了极强的适应性，盘带、前插、传球、射门，成为了进攻体系的变奏点。', '有人说他是大小劳德鲁普的结合体、也有人说他是埃里克森的接班人，毋庸置疑的是他继承了丹麦足球的精神，也将带领丹麦队在未来书写新的童话。']","['丹麦', '克亚尔', '埃里克森', '尤勒曼', '米克尔-达姆斯高']"
https://dongqiudi.com/articles/2133543.html,你们知道吗其实意大利阵中有一名博人的代表球员[狗...,博洛尼亚1909足球俱乐部,07-09 21:05,['你们知道吗\n其实意大利阵中有一名博人的代表球员[狗头]\n不信你们看这个年轻人是谁[狗头]'],"['博洛尼亚', '意大利']"
https://dongqiudi.com/articles/2133528.html,决战欧洲杯-搞笑！博努奇返回球场时被工作人员认成球迷拦下,咪咕体育,07-09 20:58,[],"['意大利', '尤文图斯', '博努奇']"
