id,name,english_name,news_titles
50526314,赖斯,T. Reis,"'官方：波鸿与主帅赖斯续约至2023年', '互联网足球产业联盟合作伙伴'"
50001547,布切尔,H. Butscher,'互联网足球产业联盟合作伙伴'
50122435,诺夫尼,S. Novothny,'互联网足球产业联盟合作伙伴'
50120666,魏兰特,T. Weilandt,'互联网足球产业联盟合作伙伴'
50077469,布卢姆,D. Blum,"'官方：波鸿与潘托维奇和布卢姆续约', '拜仁6分钟两球客场2-1逆转波鸿晋级德国杯十六强，穆勒绝杀', '效仿经典，布卢姆险些复制斯坦科维奇吊射攻破诺伊尔大门', '官方：波鸿签下法兰克福边锋布卢姆', '官方：拉斯帕尔马斯租借布卢姆', '踢球者：镰田要离开法兰克福', '德媒：镰田大地可能会被出售', '多特3-2读秒绝杀法兰克福终结四场不胜，巴舒亚伊替补两球', '互联网足球产业联盟合作伙伴'"
50048672,措勒,S. Zoller,"'波鸿球员：失球前表现一直很好，和拜仁势均力敌', '官方：措勒离开科隆将加盟波鸿', '巴舒亚伊脚后跟进球领衔！德甲27轮5佳球你觉得哪个更精彩？', '多特客场3-2科隆终结3连平，巴舒亚伊首秀造三球，许尔勒绝杀', '互联网足球产业联盟合作伙伴'"
50196738,潘托维奇,M. Pantović,"'官方：波鸿与潘托维奇和布卢姆续约', '潘托维奇：难忘瓜迪奥拉当年给我德甲亮相机会', '官方：波鸿签下拜仁慕尼黑小将', '潘托维奇：我的目标是踢德甲', '又一个，潘托维奇也要离开拜仁', '互联网足球产业联盟合作伙伴'"
50166918,霍尔特曼,G. Holtmann,"'官方：德乙波鸿签下美因茨边锋霍尔特曼', '菲律宾再度归化8名球员，中国足球不进则退任重道远', '体坛：菲律宾拟增加8名归化球员，其中包括德甲主力', '官方：帕德博恩中场霍尔特曼遭遇两场禁赛', '剑南春丨德甲战报：多特连追三球3-3帕德博恩，罗伊斯绝平', '官方：帕德博恩租借美因茨边锋霍尔特曼', '互联网足球产业联盟合作伙伴'"
50598278,哈特维希,L. Hartwig,'互联网足球产业联盟合作伙伴'
50449989,埃金杰尔,B. Ekincier,'互联网足球产业联盟合作伙伴'
