article_id,url,title,author,time,content,tags,img_url
2147465,https://dongqiudi.com/articles/2147465.html,德国国奥队前锋：球队的氛围很好，一起打牌喝咖啡,骆驼飞鸟鱼刺,07-16 09:31,"['德国国奥队目前已经抵达了日本东京，德国国奥队将在小组赛第一轮比赛对阵巴西。德国国奥队前锋托伊歇特谈到了球队目前的情况。', '谈到抵达日本的行程，托伊歇特表示：“有一些麻烦，必须要安装几个App，还要填很多表格。”', '谈到奥运会时，托伊歇特表示：“奥运会对世界上的每个运动员来说都是最大的追求。对我来说，除了和球队争夺金牌之外，没有其他的选择。”', '“我们现在一起打牌，一起喝咖啡。国奥队的很多球员已经认识很久了，我们还有足够的时间来更好认识彼此。每个人都期待接下来的几周。”']","['德国', '柏林联合', '托伊歇特', '德国U23']",https://xyimg1.qunliao.info/fastdfs6/M00/29/1B/280x210/crop/-/rBUESWDw4VWAY407AAItklm1ABA665.jpg
2147451,https://dongqiudi.com/articles/2147451.html,图片报：莱万经纪人扎哈维将很快与拜仁开启续约谈判,骆驼飞鸟鱼刺,07-16 09:16,"['上个赛季拜仁慕尼黑中锋莱万多夫斯基以41个进球打破了德国传奇射手盖德-穆勒的德甲赛季进球纪录，最近西班牙媒体《阿斯报》的消息称，莱万依然希望加盟皇马，另外英国媒体《每日邮报》的消息称曼城对莱万有意。德国媒体《图片报》的最新消息称，拜仁不会在今夏出售莱万，而且莱万的经纪人将很快开始进行续约谈判。', '《图片报》的消息称，莱万的经纪人扎哈维将很快同拜仁慕尼黑开启续约谈判，目前莱万与拜仁慕尼黑的合同还有2年。']","['拜仁慕尼黑', '莱万多夫斯基']",https://csimg2.qunliao.info/fastdfs6/M00/29/1A/280x210/crop/-/rBUESWDw3caABpNSAAC1UA_SGVE507.jpg
2147448,https://dongqiudi.com/articles/2147448.html,2021-22新赛季德甲球队的主场从拜仁慕尼黑的...,李巴乔i,07-16 09:00,['2021-22新赛季德甲球队的主场\n从拜仁慕尼黑的安联球场和多特蒙德的伊杜纳信号公园球场到柏林联的旧森林管理所球场，我们来看看最新的德甲球场图集。'],[],https://xyimg1.qunliao.info/fastdfs6/M00/29/18/280x210/crop/-/rBUESWDw2hKAMz22AABrxca_n44261.jpg
2147424,https://dongqiudi.com/articles/2147424.html,马特乌斯：凯恩对英格兰的作用比C罗对葡萄牙更大,骆驼飞鸟鱼刺,07-16 08:53,"['德国足坛名宿马特乌斯评选出了自己心目中的本届欧洲杯最佳阵容，在马特乌斯的评选中，他在前锋位置选择了英格兰队长凯恩，而没有选择本届欧洲杯的最佳射手C罗，马特乌斯解释了自己的选择。', '马特乌斯表示：“凯恩不仅仅是因为他的4个进球让人印象深刻，还有他的团队能力。他不仅仅是执行者，也是锋线身后的导演，也是能够传出威胁传球的组织者。因此他对英格兰，比C罗的5个进球对葡萄牙来说价值更大。”']","['英格兰', '葡萄牙', '尤文图斯', '托特纳姆热刺', 'C罗', '哈里-凯恩', '马特乌斯']",https://xyimg1.qunliao.info/fastdfs6/M00/29/18/280x210/crop/-/rBUESWDw2F2AMJ7mAADMkjdfdCk463.jpg
2147416,https://dongqiudi.com/articles/2147416.html,拜仁外租中场费恩：我的偶像是施魏因斯泰格和博格巴,骆驼飞鸟鱼刺,07-16 08:45,"['拜仁慕尼黑年轻中场费恩新赛季将租借效力于德甲升班马菲尔特，费恩接受了德国媒体《图片报》的采访，费恩表示自己的偶像是施魏因斯泰格和博格巴。', '上个赛季费恩效力于荷甲的埃因霍温，他和格策是队友。费恩：“格策是一个很好的人，他也给了我很多建议。”', '费恩：“我的偶像是博格巴和施魏因斯泰格，当我还是拜仁青训球员的时候，就一直看施魏因斯泰格踢球。”', '谈到在菲尔特的保级前景，费恩：“当然会很难，不过我们也有不错的机会保级成功。”']","['拜仁慕尼黑', '菲尔特', '曼联', 'PSV埃因霍温', '博格巴', '格策', '施魏因斯泰格', '艾德里安-费恩']",https://xyimg1.qunliao.info/fastdfs6/M00/29/17/280x210/crop/-/rBUESWDw1o6Ada8OAAEGi5pFtX4390.jpg
2147396,https://dongqiudi.com/articles/2147396.html,李在城：德国杯击败拜仁后本想和穆勒换球衣，但拜仁很快离开,骆驼飞鸟鱼刺,07-16 08:22,"['这个夏天，美因茨签下了韩国国脚李在城。上个赛季李在城曾经在德乙基尔俱乐部效力，当时李在城跟随基尔在德国杯点球大战淘汰了拜仁，李在城回忆了当时的情况。', '李在城谈到加盟美因茨：“如果来到一支新的球队要等第一个进球很长时间的话，那么会让人很心急。因此我希望我能够尽快进球。”', '李在城曾经跟随韩国队在俄罗斯世界杯击败过德国，在上赛季的德国杯李在城跟随基尔淘汰了拜仁。“2018年世界杯对阵德国，在比赛之后我和赫克托交换了球衣。在上赛季德国杯和拜仁的比赛后，原本我想和穆勒交换球衣，但是比赛之后，拜仁很快离开了，因此没有得到球衣。”', '李在城表示希望这次能在德甲击败拜仁并且得到穆勒的球衣。“希望这次能成功，而且得到穆勒的球衣。”']","['韩国', '德国', '拜仁慕尼黑', '美因茨', '荷尔斯泰因基尔', '托马斯-穆勒', '李在城']",https://xyimg1.qunliao.info/fastdfs6/M00/29/16/280x210/crop/-/rBUESWDw0PyAflhvAAH0WWA4G6g400.jpg
2147339,https://dongqiudi.com/articles/2147339.html,曾遭尤文退货，如今一球成名！希克在这个夏天里涅槃重生,体育百科,07-16 08:10,['曾遭尤文退货，如今一球成名！希克在这个夏天里涅槃重生'],"['勒沃库森', '希克']",https://xyimg1.qunliao.info/fastdfs6/M00/29/13/280x210/crop/-/rBUESWDwwLWAUugKAA39pBjO1rk264.jpg
2147368,https://dongqiudi.com/articles/2147368.html,技术细腻，拜仁新援理查兹训练中玩花活,骆驼飞鸟鱼刺,07-16 07:50,[],"['拜仁慕尼黑', '奥马尔-理查兹']",https://xyimg1.qunliao.info/fastdfs6/M00/29/15/280x210/crop/-/rBUCgGDwyXmANEluAA5HTSyTZmQ307.png
2147361,https://dongqiudi.com/articles/2147361.html,拉姆告别罗本：与你一起踢球是我的荣幸,骆驼飞鸟鱼刺,07-16 07:44,"['昨天荷兰球星罗本第二次宣布自己结束职业生涯，前拜仁慕尼黑队友拉姆在个人主页中向罗本告别。', '拉姆在个人主页中写道：“能够和罗本一起踢球是我的荣幸，我们一起在拜仁慕尼黑经历了很多成功的时光。现在这样强势的巴伐利亚-荷兰的边路组合没有了。我祝愿你和你的家人未来享受生活，一切顺利。”', '2019年当时罗本曾经宣布结束职业生涯，不过不久之后罗本在家乡球队格罗宁根复出。不过复出之后，罗本频繁受到伤病影响，昨天罗本第二次宣布自己结束职业生涯。']","['拜仁慕尼黑', '格罗宁根', '拉姆', '罗本']",https://xyimg1.qunliao.info/fastdfs6/M00/29/15/280x210/crop/-/rBUCgGDwyDOAGd3qAADHmZEwIWI929.jpg
2147356,https://dongqiudi.com/articles/2147356.html,官方：沙尔克攻击手拉曼转会安德莱赫特,骆驼飞鸟鱼刺,07-16 07:37,"['在沙尔克降级之后，多名球员都已经离开。北京时间今天凌晨，沙尔克再次官方宣布一名球员离队。沙尔克攻击手拉曼转会加盟比利时劲旅安德莱赫特。', '沙尔克官方表示，拉曼转会加盟比利时劲旅安德莱赫特，拉曼与安德莱赫特签约3年，原本拉曼在沙尔克的合同2024年才到期。', '沙尔克主管Schröder表示：“拉曼与我们的沟通非常坦诚，他说未来不会留在沙尔克。因此对双方来说，这笔交易都是有意义的。我们对经济条件感到满意，祝愿拉曼之后一切顺利。”', '两年前拉曼加盟沙尔克，他为沙尔克各项赛事出场55次。']","['安德莱赫特', '沙尔克04', '拉曼']",https://bdimg1.qunliao.info/tos-cn-i-j5hyufq5o6/fastdfs6/M00/29/15/rBUCgGDwxpqAfNzAAAH5-suPWsM864.jpg~tplv-j5hyufq5o6-crop:280:210.jpeg
